Kabupaten_Kota,Latitude,Longitude,Jumlah_Kendaraan_Bermotor,Kepadatan_Penduduk,Akses_Sanitasi,JumlahLuas_Hutan,PDRB,Timbulan_Sampah,IKLH
Pandeglang,-6.314835,106.103897,413970,478,63.66,111588.82,21928.59,191663.84,60.29
Lebak,-6.5643956,106.2522143,469398,438,70.23,35338.76,23377.24,223608.34,60.27
Tangerang,-6.1783056,106.6318889,1357079,3309,89.38,1601.6,113998.21,334823.125,55.87
Serang,-6.12009,106.150299,733336,1158,85.31,7027.49,63255.33,438206.52,53.59
Kota_Tangerang,-6.1783056,106.6318889,2859081,11012,96.93,0,125060.32,798405.91,55.74
Kota_Cilegon,-6.0169825,106.040506,439790,2804,97.1,454.82,88628.11,131735.68,55.7
Kota_Serang,-6.12009,106.150299,354181,2765,92.71,32.85,26863.08,225318.46,53.8
Kota_Tangerang_Selatan,-6.2888889,106.7180556,1851870,8489,99.34,0,73052.84,334823.125,52.64
Bogor,-6.6,106.8,1763241,1899.31,67.18,78142.96,185882.34,317523.338,59.39
Sukabumi,-6.92405,106.922203,553927,679.14,51.9,111517.92,55723.92,317523.338,65.15
Cianjur,-6.8172531,107.1307289,494187,711.74,63.3,98078.43,38208.18,462637.87,67.82
Bandung,-6.9147444,107.6098111,1147948,2155.92,69.12,50817.23,97509.91,478956.72,59.47
Garut,-7.227906,107.908699,460397,876.09,49.99,103696.13,46270.92,418262.61,62.37
Tasikmalaya,-7.327954,108.214104,336259,709.91,54.68,47508.25,28879.68,317523.338,45.77
Ciamis,-7.3333333,108.35,285492,789.02,77.12,18376.72,26360.94,182871.42,72.51
Kuningan,-6.9833333,108.4833333,353748,1017.63,84.64,34012.41,20507.27,179838.71,72.05
Cirebon,-6.715534,108.564003,760317,2227.68,87.92,5604.08,39418.27,317523.338,54.55
Majalengka,-6.8531026,108.2258897,372706,1016.82,83.61,26179.89,27438.93,342527.64,60.74
Sumedang,0.6095949,110.0330554,328692,757.97,77.32,46446.85,27965.76,176030.01,62.47
Indramayu,-6.336315,108.325104,535915,921.96,97.27,39166.49,68701.96,414835.78,60.33
Subang,-6.569361,107.752403,456018,768.01,90.29,28632.37,33126.46,317523.338,61.39
Purwakarta,-6.5386806,107.4499404,317222,1057.65,83.01,22120.25,54142.29,152672.78,61.15
Karawang,-6.3227303,107.3375791,897655,1334.78,85.99,23014.43,194903.1,389444.24,50.34
Bekasi,-6.2333333,107,1575844,2616.96,89.16,9767,293664.79,614462.32,49.6
Bandung Barat,-6.8937121,107.4321959,658190,1468.08,54.02,32879.93,36793.68,275091.74,58.43
Pangandaran,-7.6847308,108.653579,90016,384.78,90.3,17247.05,9324.31,64993.07,58.99
Kota_Bogor,-6.6,106.8,481474,9682.6,71.49,0,38964.67,275707.63,59.34
Kota_Sukabumi,-6.92405,106.922203,122953,7570.59,45.88,0,10303.16,317523.338,62.53
Kota_Bandung,-6.9147444,107.6098111,1543517,15175.96,55.9,2.88,233053.79,546151.49,57.16
Kota_Cirebon,-6.715534,108.564003,173230,8743.69,95.38,0,19884.06,78969.28,59.2
Kota_Bekasi,-6.2333333,107,1514124,12411.09,99.08,0,81251.61,645426.98,50.7
Kota_Depok,-6.39,106.83,1200148,10823.05,98.76,6.92,58241.86,497529.02,54.55
Kota_Cimahi,-6.880239,107.5355,295451,14110.25,76.44,0,27296.93,317523.338,40.99
Kota_Tasikmalaya,-7.327954,108.214104,250012,4081.37,53.16,373.33,18709.87,122229.45,58.52
Kota_Banjar,-7.3666667,108.5333333,67229,1601.34,91.07,1030.56,3883.98,31828,62.6
Kepulauan Seribu,-5.7985266,106.5071982,6029,2868,89.1,0,113454,8526,68.32
Kota_Jakarta Selatan,-6.332973,106.807915,2532040,15390,92.61,0,224339,725690.82,51.15
Kota_Jakarta Timur,-6.211544,106.845172,3568971,16633,97.15,0,117326,946680,51.11
Kota_Jakarta Pusat,-6.211544,106.845172,1115304,21955,90.3,0,510015,314580,48.03
Kota_Jakarta Barat,-6.211544,106.845172,2845531,19837,94.94,0,154508,723240,47.15
Kota_Jakarta Utara,-6.211544,106.845172,1989460,12333,91.39,0,209550,509694.5,45.63
Kulon Progo,-7.8266798,110.1640846,294592,760,97.16,184.99,10426.23,79177.19,66.66
Bantul,-7.8846111,110.3341111,789414,2008,96.46,0.01,22964.66,153853.22,61.67
Gunungkidul,-8.0305091,110.6168921,377707,506,97.63,15581,16506.42,134318.32,72.38
Sleman,-7.716165,110.335403,1156994,2033,96.43,2063.18,41559.54,219653.64,62.38
Kota_Yogyakarta,-7.797224,110.368797,7094.71,11562,96.27,0,32964.35,121356.66,55.53
Cilacap,-7.733333,109,968313,872,83.25,49818.22,104540.67,351771.64,64.43
Banyumas,-7.4832133,109.140438,911167,1328,83.25,28651.44,47795.71,266971.66,67
Purbalingga,-7.390747,109.3638,470476,1288,82.01,14312.08,20422.61,187488.27,67.1
Banjarnegara,-7.402706,109.681396,427114,924,52.4,18468.77,18051.84,187366.78,73.01
Kebumen,-7.678682,109.656502,642851,1060,93.43,17587.75,23837.83,177069.85,69.86
Purworejo,-7.709731,110.008003,399420,735,84.64,8293.1,15745.98,117937.34,66.33
Wonosobo,-7.362109,109.899399,360006,910,63.81,19996.73,16109.38,132810.94,71.11
Magelang,-7.481253,110.213799,631755,1187,83.77,9762.9,27538.21,244077.51,69.4
Boyolali,-7.523819,110.595901,619942,1003,88.26,17437.31,27556.18,109424.6,65.49
Klaten,-7.711687,110.595497,912678,1851,97.86,1555.13,33568.92,238699.57,61.09
Sukoharjo,-7.6808818,110.8195292,688006,1908,97.08,373.79,32187.41,133804.91,63.07
Wonogiri,-7.817782,110.920601,504238,553,96.25,20004.99,24728.69,127166.54,65.6
Karanganyar,-7.5961111,110.9508333,636899,1198,98.54,7294.79,31883.1,139446.94,70.12
Sragen,-7.430229,111.021301,692582,1010,95.71,5423.5,32084.08,218449.22,68.29
Grobogan,-7.0217194,110.9625854,759819,744,93.94,69964.28,23591.06,315817.2,69.21
Blora,-6.95,111.4166667,454628,464,90.81,90812.89,19776.06,206490.175,71.83
Rembang,-6.71124,111.345299,338173,641,94.89,23761.49,16248.58,97163.15,66.96
Pati,-6.751338,111.038002,804837,872,96.33,22205.57,36780.74,248083.93,61.89
Kudus,-6.804087,110.838203,634503,1974,95.9,3592.6,75010.79,160202.33,64.49
Jepara,-6.5596059,110.6717,769609,1208,68.05,134027.57,25482.07,157915.99,63.16
Demak,-6.888115,110.639297,701031,1281,95.13,3276.48,21894.6,228667.03,56.26
Semarang,-6.9666667,110.4166667,643680,1069,86.32,11908.23,41529.4,196718.94,66.49
Temanggung,-7.316669,110.174797,352736,942,71.77,13568.03,17855.6,148153.14,68.25
Kendal,-6.919686,110.205597,650182,1056,83.05,18552.12,37201.45,159584.72,57.53
Batang,-6.8941111,109.7234519,418434,978,65.92,18382.05,18693.22,172449.11,64.47
Pekalongan,-6.882887,109.669998,207249,1141,82.61,28199.14,19283.06,147078.06,60.19
Pemalang,-6.884234,109.377998,681652,1355,84.32,33001.84,21778.06,172397.83,66.81
Tegal,-6.8666667,109.1333333,757356,1702,87.09,24146.11,29444.38,241609.56,61.94
Brebes,-6.8833333,109.05,819422,1185,85.85,50008.27,38546.98,372861.55,70.46
Kota_Magelang,-7.481253,110.213799,127514,6596,88.55,0,7668.79,29515.1,64.33
Kota_Surakarta,-7.5666667,110.8166667,649657,11302,85.07,0,42897.32,153360.91,63.42
Kota_Salatiga,-7.302328,110.4729,170602,3661,96.28,0,11505.05,41995.35,61.45
Kota_Semarang,-6.9666667,110.4166667,1985109,4618,95.83,2136.57,170947.72,434243.97,59.12
